file,version,date
Technische FAQ BEG EM_1 (2021-03-01).pdf,1.0,01/03/2021
Technische FAQ BEG EM_2 (2021-06-01).pdf,2.0,01/06/2021
Technische FAQ BEG EM_4 (2022-08-15).pdf,4.0,15/08/2022
Technische FAQ BEG EM_3 (2021-10-21).pdf,3.0,21/10/2021
Technische FAQ BEG EM_5 (2023-03-13).pdf,5.0,13/03/2023
Richtlinie BEG EM (2022-12-09).pdf,1.0,30/12/2022
Richtlinie BEG EM (2021-09-16).pdf,16.09,18/10/2021
Richtlinie BEG EM (2023-12-21).pdf,1.0,21/12/2023
Richtlinie BEG EM (2022-07-21)_Änderung.pdf,1.1,28/07/2022
Richtlinie BEG EM (2020-12-17).pdf,1.0,17/12/2020
Richtlinie BEG EM (2021-05-20).pdf,X.X,07/06/2021
Richtlinie BEG EM (2022-09-15)_Änderung.pdf,2.0,21/09/2022
Allgemeines Merkblatt zur Antragstellung - Zuschuss_1.8 (2023-08-31).pdf,1.8,31/08/2023
Allgemeines Merkblatt zur Antragstellung - Zuschuss_1.10 (2024-04-01).pdf,1.10,01/04/2024
Allgemeines Merkblatt zur Antragstellung - Zuschuss_1.6 (2023-01-01).pdf,1.6,01/01/2023
Allgemeines Merkblatt zur Antragstellung - Zuschuss_1.9 (2024-01-01).pdf,1.9,01/01/2024
Allgemeines Merkblatt zur Antragstellung - Zuschuss_1.7 (2023-01-01).pdf,1.7,01/01/2023
BMWK - FAQ BEG (2022-02-22).pdf,X.X,22/02/2022
BMWK - FAQ BEG (2022-09-05).pdf,X.X,05/09/2022
BMWK - FAQ BEG (2022-01-24).pdf,1.0,24/01/2022
BMWK - FAQ BEG (2023-03-10).pdf,1.0,10/03/2023
BMWK - FAQ BEG (2023-01-01).pdf,1.0,DD/MM/YYYY
BMWK - FAQ BEG (2022-06-16).pdf,1.0,16/06/2022
BMWK - FAQ BEG (2022-02-03).pdf,1.0,03/02/2022
BMWK - FAQ BEG (2021-12-20).pdf,1.0,17/12/2021
BMWK - FAQ BEG (2022-10-28).pdf,28.10,28/10/2022
BMWK - FAQ BEG (2022-05-11).pdf,X.X,DD/MM/YYYY
BMWK - FAQ BEG (2023-07-13).pdf,4.0,13/07/2023
BMWK - FAQ BEG (2022-07-11).pdf,1.0,11/07/2022
BMWK - FAQ BEG (2024-02-26).pdf,X.X,26/02/2024
BMWK - FAQ BEG (2023-04-28).pdf,X.X,28/04/2023
BMWK - FAQ BEG (2022-07-27).pdf,X.X,27/07/2022
BMWK - FAQ BEG (2022-03-25).pdf,X.X,25/03/2022
BMWK - FAQ BEG (2022-04-21).pdf,1.1,21/04/2022
BMWK - FAQ BEG (2022-11-23).pdf,2.0,23/11/2022
BMWK - FAQ BEG (2022-09-14).pdf,X.X,14/09/2022
BMWK - FAQ BEG (2022-11-03).pdf,1.0,03/11/2022
BMWK - FAQ BEG (2022-08-23).pdf,1.0,23/08/2022
BMWK - FAQ BEG (2022-09-21).pdf,21.09,21/09/2022
BMWK - FAQ BEG (2023-01-09).pdf,5.0,09/01/2023
BMWK - FAQ BEG (2023-09-12).pdf,X.X,12/09/2023
BMWK - FAQ BEG (2023-08-28).pdf,X.X,28/08/2023
BMWK - FAQ BEG (2022-10-20).pdf,1.0,20/10/2022
BMWK - FAQ BEG (2022-02-11).pdf,1.0,11/02/2022
BMWK - FAQ BEG (2023-04-20).pdf,4.0,20/04/2023
BMWK - FAQ BEG (2023-01-19).pdf,1.0,19/01/2023
BMWK - FAQ BEG (2022-04-05).pdf,X.X,05/04/2022
BMWK - FAQ BEG (2022-09-30).pdf,X.X,30/09/2022
BMWK - FAQ BEG (2022-02-17).pdf,X.X,17/02/2022
BMWK - FAQ BEG (2022-05-25).pdf,X.X,25/05/2022
BMWK - FAQ BEG (2023-02-24).pdf,1.0,24/02/2023
